filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
146006323_2025-10-23_凯因科技2025年第三季度报告.pdf,北京凯因科技股份有限公司,凯因科技,688687,北京凯因科技股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,926858237.47,1010593187.53,-8.29,102508092.87,108066919.87,-5.14,100257771.20,110257771.20,-9.05,2868018807.14,2615625220.30,9.65,1796238334.44,1843247304.90,-2.55,38012458.16,32775237.57,15.98,0.612,0.645,-5.12,5.55,6.04,减少0.49个百分点,36.37%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9525,112025362.00,126308331.55,未找到,未找到,未找到,1042941428.91,2868018807.14,未找到,未找到,未找到
146006332_2025-10-23_江苏长龄液压股份有限公司2025年第三季度报告.pdf,江苏长龄液压股份有限公司,长龄液压,605389,江苏长龄液压股份有限公司2025年第三季度报告,2025-10-24,同比增长,未找到,未找到,未找到,未找到,284770459.09,未找到,37.08,44712459.77,未找到,72.70,43672434.48,未找到,75.83,2432161172.28,2402235231.20,1.25,2105133225.91,2097288801.40,0.37,不适用,不适用,不适用,0.31,未找到,72.22,2.10,未找到,增加0.88个百分点,10.70%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,10095,120404051.71,101391387.69,未找到,未找到,未找到,260167784.11,2432161172.28,未找到,未找到,未找到
146006389_2025-10-23_2025年第三季度报告.pdf,天津友发钢管集团股份有限公司,友发集团,601686,天津友发钢管集团股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,37992130736.81,40070364989.55,-5.19,501515291.15,100454098.24,399.25,414788679.39,未找到,1309.88,26743356844.41,26001740331.42,2.85,6910886661.82,6760918501.91,2.22,408077379.65,1893199946.67,-78.45,0.36,0.07,414.29,7.41,未找到,增加5.83个百分点,71.29%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9895,549502026.32,124413238.21,未找到,未找到,未找到,19106425610.31,26743356844.41,未找到,未找到,未找到
146006426_2025-10-23_江苏卓易信息科技股份有限公司2025年第三季度报告.pdf,江苏卓易信息科技股份有限公司,卓易信息,688258,江苏卓易信息科技股份有限公司2025年第三季度报告,2025-09-23,同比增长,未找到,未找到,未找到,未找到,88816769.66,未找到,2.52,17475151.92,未找到,2074.65,12813751.43,未找到,2101.44,1573024335.41,1552080331.40,1.35,875219307.56,845081153.57,3.57,未找到,未找到,未找到,0.14,未找到,1300.00,2.01,未找到,增加1.93个百分点,44.37%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10178,46040301.13,25900379.24,未找到,未找到,未找到,697800408.15,1573024335.41,未找到,未找到,未找到
146006440_2025-10-23_绿田机械2025年第三季度报告.pdf,绿田机械股份有限公司,绿田机械,605259,绿田机械股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,"569,374,340.37",未找到,1.02,"59,868,289.68",未找到,12.28,"57,365,739.72",未找到,9.05,"2,496,650,174.62","2,736,868,417.10",-8.78,"1,794,368,907.38","1,696,987,636.85",5.74,"145,673,825.30","45,920,144.04",217.23,0.35,未找到,16.67,3.39,未找到,增加0.08个百分点,28.14%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,8457,"200,342,520.53","138,787,937.45",未找到,未找到,未找到,"702,281,267.24","2,496,650,174.62",未找到,未找到,未找到
146006469_2025-10-23_江苏长电科技股份有限公司2025年第三季度报告.pdf,江苏长电科技股份有限公司,长电科技,600584,江苏长电科技股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,"28,668,972,678.71","24,977,909,038.59",14.78,"953,748,492.90","1,076,362,902.49",-11.39,"783,677,611.39","1,019,200,000.00",-23.25,"52,869,212,233.80","54,059,828,326.10",-2.20,"28,162,582,197.97","27,618,582,589.14",1.97,"3,692,679,424.03","3,933,902,411.51",-6.13,0.53,0.60,-11.67,3.41,4.07,减少0.66个百分点,42.90%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,"2025年半年度，公司以总股本1,789,414,570股为基数，向全体股东每10股派发现金红利0.3元（含税），共分配红利53,682,437.10元（含税），分配后公司未分配利润结余转入下一期间，公司不进行资本公积金转增股本，不送红股。本次权益分派方案经公司2024年年度股东大会授权，并经第八届董事会第十四次临时会议审议通过，于2025年9月26日实施完毕。具体内容详见公司于2025年9月18日在上海证券交易所网站(www.sse.com.cn)披露的《江苏长电科技股份有限公司2025年半年度权益分派实施公告》（临2025-044）。",中文,否,12,10522,"951,408,366.04","1,071,058,018.52",未找到,未找到,未找到,"22,784,907,795.59","52,869,212,233.80",未找到,未找到,未找到
146006470_2025-10-23_成都智明达2025年第三季度报告.pdf,成都智明达电子股份有限公司,智明达,688636,成都智明达电子股份有限公司2025年第三季度报告,2025-10-24,扭亏为盈,未找到,未找到,未找到,未找到,511553487.28,208663030.83,145.16,81987113.36,-9156750.75,未找到,77785649.24,-13851240.05,未找到,1824342659.31,1528864677.20,19.33,1171400025.47,1104532867.99,6.05,-29383312.40,31032891.28,-194.68,0.49,-0.06,未找到,7.20,-0.85,未找到,35.79%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9468,81987113.36,-9156750.75,未找到,未找到,未找到,652942633.84,1824342659.31,未找到,未找到,未找到
146006483_2025-10-23_吉视传媒股份有限公司2025年第三季度报告.pdf,吉视传媒股份有限公司,吉视传媒,601929,吉视传媒股份有限公司2025年第三季度报告,2025-10-24,亏损,未找到,未找到,未找到,未找到,472240874.13,未找到,-7.27,-114274407.49,未找到,-0.11,-116130110.62,未找到,29.85,12654190413.10,13072785903.05,-3.20,5004814150.35,5366047007.69,-6.73,104133275.42,123416272.29,-15.62,-0.0993,-0.0887,-11.95,-6.69,-3.1765263189,-1.86,60.16%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,15,14071,-351098865.53,-310403333.20,未找到,未找到,未找到,7612767288.33,12654190413.10,未找到,未找到,未找到
146006496_2025-10-23_浙江臻镭科技股份有限公司2025年第三季度报告.pdf,浙江臻镭科技股份有限公司,臻镭科技,688270,浙江臻镭科技股份有限公司2025年第三季度报告,2025-10-24,同比增长,未找到,未找到,未找到,未找到,302377394.65,182421264.55,65.76,100963583.50,14462805.64,598.09,79002520.15,4384905.66,1801.49,2394749154.56,2236565115.12,7.07,2225548891.64,2141434056.34,3.93,21530484.11,-6150463.47,不适用,0.47,0.07,571.43,4.61,0.68,增加3.93个百分点,7.05%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,17,12603,100963583.50,14462805.64,未找到,未找到,未找到,169200262.92,2394749154.56,未找到,未找到,未找到
146006505_2025-10-23_宁波富达2025年第三季度报告.pdf,宁波富达股份有限公司,宁波富达,600724,宁波富达股份有限公司2025年第三季度报告,2025-10-22,同比增长,未找到,未找到,未找到,未找到,1100217174.51,1242392251.19,-11.44,169028815.49,160014290.76,5.63,144609079.78,144609079.78,0.33,4069607990.50,4209179911.88,-3.32,2852925244.48,2885727964.24,-1.14,249777157.01,169034970.02,47.77,0.1170,0.1107,5.69,5.8230,未找到,增加0.3067个百分点,21.13%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10976,150948415.81,149189653.51,未找到,未找到,未找到,860227064.76,4069607990.50,未找到,未找到,未找到
146006522_2025-10-23_2025年第三季度报告.pdf,苏美达股份有限公司,苏美达,600710,苏美达股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,87423268247.67,86972787432.13,0.52,1103686476.28,1003079824.34,10.03,1041571500,894606400,16.43,60080520058.24,54904093851.55,9.43,8230469781.31,7484337937.19,9.97,449200826.86,4008163394.55,-88.79,0.84,0.77,9.09,14.00,13.79,0.18,73.85%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,15,13209,2791593959.10,2567134338.97,未找到,未找到,未找到,44375113913.46,60080520058.24,未找到,未找到,未找到
146006527_2025-10-23_2025年第三季度报告.pdf,宁波太平鸟时尚服饰股份有限公司,太平鸟,603877,宁波太平鸟时尚服饰股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,"4,216,994,348.86","4,541,599,747.01",-7.15,"28,259,017.60","107,814,015.25",-73.79,"-55,459,629.05",未找到,未找到,"7,568,658,186.40","8,424,478,406.26",-10.16,"4,343,006,333.62","4,504,931,966.39",-3.59,"-74,468,440.32","-86,307,936.93",未找到,0.06,0.23,-73.91,0.64,未找到,未找到,42.62%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,10438,"26,932,924.50","106,653,912.86",未找到,未找到,未找到,"3,225,651,852.78","7,568,658,186.40",未找到,未找到,未找到
146006543_2025-10-23_宁波精达2025年第三季度报告.pdf,宁波精达成形装备股份有限公司,宁波精达,603088,宁波精达成形装备股份有限公司2025年第三季度报告,2025-10-24,同比下降,未找到,未找到,未找到,未找到,549460284.50,582211385.42,-5.63,75878861.94,118694897.52,-36.07,71778648.18,112900000.00,-36.42,1941454235.14,1386454455.86,40.03,1094640176.14,777897888.21,40.72,137297094.24,97481535.42,40.84,0.16,0.27,-40.74,7.92,8.65,-8.34,42.35%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9701,79138453.99,121369534.28,未找到,未找到,未找到,822808925.82,1941454235.14,未找到,未找到,未找到
146006545_2025-10-23_天臣医疗2025年第三季度报告.pdf,天臣国际医疗科技股份有限公司,天臣医疗,688013,天臣国际医疗科技股份有限公司2025年第三季度报告,2025-10-24,同比增长,未找到,未找到,未找到,未找到,243831328.07,202085550.04,20.66,71945750.36,42751708.14,68.29,66202274.94,未找到,71.85,676021270.25,637240337.63,6.09,599615312.18,581426165.19,3.13,63784159.86,38520695.40,65.58,0.90,0.53,69.81,12.52,未找到,增加5.14个百分点,11.30%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,9268,71945750.36,42751708.14,未找到,未找到,未找到,76405958.07,676021270.25,未找到,未找到,未找到
146006551_2025-10-23_上海派能能源科技股份有限公司2025年第三季度报告.pdf,上海派能能源科技股份有限公司,派能科技,688063,上海派能能源科技股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,"2,012,561,574.01","1,412,167,194.31",42.52,"47,851,490.36","37,370,530.86",28.05,"-16,915,627.00",未找到,未找到,"12,782,244,396.61","11,662,789,188.41",9.60,"9,144,829,327.21","9,174,905,768.15",-0.33,"358,008,446.41","673,716,617.83",-46.86,0.20,0.15,33.33,0.52,未找到,未找到,28.29%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;1.报告期内主要经营情况;2.公司控股股东增持公司股份计划实施情况;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10986,"41,779,189.73","36,734,989.27",未找到,未找到,未找到,"3,615,039,674.59","12,782,244,396.61",未找到,未找到,未找到
146006562_2025-10-23_2025年第三季度报告.pdf,麦加芯彩新材料科技（上海）股份有限公司,麦加芯彩,603062,麦加芯彩新材料科技（上海）股份有限公司2025年第三季度报告,2025-10-22,同比增长,未找到,未找到,未找到,未找到,1348709920.73,1394316782.10,-3.27,165396797.32,140015770.98,18.13,142931164.13,未找到,24.32,2962275831.37,3360224464.77,-11.84,2041594543.07,2060341743.62,-0.91,117535232.68,-148863469.89,未找到,1.56,1.30,20.00,7.9,未找到,增加1.27个百分点,31.08%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9955,165396797.32,140015770.98,未找到,未找到,未找到,920681288.30,2962275831.37,未找到,未找到,未找到
146006575_2025-10-23_三孚股份：2025年第三季度报告.pdf,唐山三孚硅业股份有限公司,三孚股份,603938,唐山三孚硅业股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,1547887806.27,1343704991.37,15.20,64135623.78,50532169.33,26.92,55853882.85,34637000.00,61.26,3289673142.00,3105380127.91,5.93,2484485195.01,2426616338.97,2.38,43774341.74,93075626.64,-52.97,0.17,0.13,30.77,2.61,2.10,增加0.51个百分点,24.42%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,8445,63944878.46,47985725.19,未找到,未找到,未找到,803193073.67,3289673142.00,未找到,未找到,未找到
146006613_2025-10-23_江山欧派2025年第三季度报告.pdf,江山欧派门业股份有限公司,江山欧派,603208,江山欧派门业股份有限公司2025年第三季度报告,2025-10-23,亏损,未找到,未找到,未找到,未找到,1284120418.56,2257083847.73,-43.11,-41492046.01,163570200.28,未找到,-88356527.25,未找到,未找到,3262531266.41,3742524202.62,-12.83,1237588151.18,1312519576.37,-5.71,-283648.08,-11573319.04,未找到,-0.24,0.93,未找到,-3.24,未找到,未找到,61.91%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;（1）股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;（2）其他提醒事项;1、担保事项进展;2、应收账款保理业务;3、可转换公司债券;（3）季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,14,11668,-41492046.01,162775458.66,未找到,未找到,未找到,2024943115.23,3262531266.41,未找到,未找到,未找到
146006634_2025-10-23_2025年第三季度报告.pdf,苏州伟创电气科技股份有限公司,伟创电气,688698,苏州伟创电气科技股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,"1,349,878,534.00","1,156,979,008.95",16.67,"224,623,778.61","210,449,321.02",6.74,"212,928,771.82","205,608,271.03",3.53,"3,636,475,730.03","3,073,967,764.61",18.30,"2,315,173,380.67","2,092,499,008.86",10.64,"-40,557,116.18","99,603,838.50",不适用,1.06,1.00,6.00,10.15,10.45,减少0.30个百分点,35.49%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,10609,"220,676,897.63","204,362,677.63",未找到,未找到,未找到,"1,290,908,463.22","3,636,475,730.03",未找到,未找到,未找到
146006657_2025-10-23_北京大豪科技股份有限公司2025年第三季度报告.pdf,北京大豪科技股份有限公司,大豪科技,603025,北京大豪科技股份有限公司2025年第三季度报告,2025-10-24,同比增长,未找到,未找到,未找到,未找到,744789478.45,未找到,23.19,202006250.06,未找到,18.35,216354938.80,未找到,27.77,4915585821.44,4412490463.83,11.40,2607407367.12,2386298458.03,9.27,30117377.92,未找到,30.06,0.18,未找到,20.00,8.89,未找到,增加0.75个百分点,40.49%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,9,8876,634180951.58,520141765.00,未找到,未找到,未找到,1985109963.33,4915585821.44,未找到,未找到,未找到
146006667_2025-10-23_三生国健：2025年第三季度报告.pdf,三生国健药业（上海）股份有限公司,三生国健,688336,2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,1115996100,939404600,18.80,398860200,233048900,71.15,352291400,216660000,62.39,8811099100,5965027300,47.71,5898693700,5567642100,5.95,2813241200,182689200,1439.91,0.65,0.38,71.05,6.95,4.67,增加2.28个百分点,33.51%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,10084,389706600,222757400,未找到,未找到,未找到,2952323700,8811099100,未找到,未找到,未找到
146006680_2025-10-23_2025年第三季度报告.pdf,江西省盐业集团股份有限公司,江盐集团,601065,江西省盐业集团股份有限公司2025年第三季度报告,2025-10-24,同比下降,未找到,未找到,未找到,未找到,"1,692,121,680.43","2,008,067,088.41",-15.73,"195,749,208.47","356,914,767.07",-45.16,"183,814,226.83","344,000,000.00",-46.53,"5,682,864,476.70","5,661,109,537.18",0.38,"4,425,016,075.92","4,374,335,137.29",1.16,"385,367,440.61","493,118,691.79",-21.85,0.30,0.56,-46.43,4.42,8.31,-46.81,20.97%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9226,"202,865,975.00","371,124,814.04",未找到,未找到,未找到,"1,191,783,377.77","5,682,864,476.70",未找到,未找到,未找到
146006684_2025-10-23_方盛制药2025年第三季度报告.pdf,湖南方盛制药股份有限公司,方盛制药,603998,湖南方盛制药股份有限公司2025年第三季度报告,2025-10-22,同比增长,未找到,未找到,未找到,未找到,419066326.48,未找到,-4.26,99044621.31,未找到,8.49,71203910.39,未找到,36.37,3031502836.90,3266573464.59,-7.20,1672016819.10,1622965416.79,3.02,不适用,不适用,不适用,0.22,未找到,4.76,5.70,未找到,减少0.28个百分点,42.20%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;（一）期内事项;（二）期后事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,11664,265351950.55,227396741.19,未找到,未找到,未找到,1279315587.93,3031502836.90,未找到,未找到,未找到
146006688_2025-10-23_2025年第三季度报告.pdf,安徽皖仪科技股份有限公司,皖仪科技,688600,安徽皖仪科技股份有限公司2025年第三季度报告,2025-10-23,扭亏为盈,未找到,未找到,未找到,未找到,518793089.20,455704274.66,13.84,25762709.50,-26683108.65,不适用,10312005.69,未找到,不适用,1298353756.44,1201819195.09,8.03,759965519.92,792297427.81,-4.08,73943348.52,19556151.27,278.11,0.20,-0.20,不适用,3.37,未找到,增加6.73个百分点,41.47%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9242,25762709.50,-26683108.65,未找到,未找到,未找到,538388236.52,1298353756.44,未找到,未找到,未找到
146006719_2025-10-23_南华期货股份有限公司2025年第三季度报告.pdf,南华期货股份有限公司,南华期货,603093,南华期货股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,940558845.01,1025308704.77,-8.27,351448372.39,358330786.81,-1.92,351968023.29,356095447.79,-1.16,64079043944.29,48863396701.97,31.14,4394664735.54,4115254867.13,6.79,7270475382.60,6762648557.60,7.51,0.58,0.59,-1.69,8.27,9.33,减少0.06个百分点,93.05%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）母公司的净资本及风险控制指标;（三）非经常性损益项目和金额;（四）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,10,9308,351836853.51,358519965.22,未找到,未找到,未找到,59674374784.89,64079043944.29,未找到,未找到,未找到
146006725_2025-10-23_华夏银行2025年第三季度报告.pdf,华夏银行股份有限公司,华夏银行,600015,华夏银行股份有限公司2025年第三季度报告,2025-10-22,同比增长,未找到,未找到,未找到,未找到,19359000000,22781000000,-15.02,6512000000,6051000000,7.62,6525000000,6051000000,7.39,4586358000000,4376491000000,4.80,368569000000,361982000000,1.82,88871000000,-7451000000,不适用,0.38,0.38,持平,1.98,1.98,下降0.12个百分点,91.87%,1 主要财务数据;1.1 主要会计数据和财务指标;1.2 非经常性损益项目和金额;1.3 主要会计数据、财务指标发生变动的情况、原因;1.4 本集团经营情况分析;2 报告期末普通股股东总数、前十名普通股股东、前十名无限售条件的普通股股东持股情况表;3 银行业务数据;3.1 资本充足率及杠杆率;3.2 流动性覆盖率信息;3.3 贷款资产质量情况;3.4 其他主要监管指标;3.5 其他与经营情况有关的重要信息,未找到,中文,否,15,11521,6721000000,6186000000,未找到,未找到,未找到,4213751000000,4586358000000,未找到,未找到,未找到
146006731_2025-10-23_中国中材国际工程股份有限公司2025年第三季度报告.pdf,中国中材国际工程股份有限公司,中材国际,600970,中国中材国际工程股份有限公司2025年第三季度报告,2025-10-24,同比增长,未找到,未找到,未找到,未找到,32997818971.31,31731128090.45,3.99,2073763075.31,2059824699.63,0.68,1850948400,2050948400,-9.74,60854905026.30,58745857082.89,3.59,22157584400,21115408900,4.94,-629110632.10,-260324363.23,未找到,0.79,0.79,未找到,9.61,未找到,减少0.89个百分点,60.73%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,16,14802,2230746620.62,2173786111.23,未找到,未找到,未找到,36957652602.43,60854905026.30,未找到,未找到,未找到
